run,commit,type,iter,size,timea,timea1,timeb,timebp,timeb1,diff
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,529600,53.0,613359,15.82%,61.3,8.4
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,517110,51.7,608792,17.73%,60.9,9.2
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65336,2611456,261.1,2721413,4.21%,272.1,11.0
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,15709404,1570.9,15815298,0.67%,1581.5,10.6
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,528801,52.9,618471,16.96%,61.8,9.0
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,519896,52.0,613101,17.93%,61.3,9.3
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65336,2628604,262.9,2713412,3.23%,271.3,8.5
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,15648934,1564.9,15729883,0.52%,1573.0,8.1
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,539689,54.0,620468,14.97%,62.0,8.1
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,521806,52.2,604612,15.87%,60.5,8.3
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65336,2617116,261.7,2722710,4.03%,272.3,10.6
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,15645758,1564.6,15753156,0.69%,1575.3,10.7
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,524618,52.5,613485,16.94%,61.3,8.9
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,528762,52.9,623383,17.89%,62.3,9.5
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65336,2606345,260.6,2715650,4.19%,271.6,10.9
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,15646789,1564.7,15761462,0.73%,1576.1,11.5
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,4,33504218,3350.4,33487111,-0.05%,3348.7,-1.7
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,256,33697113,3369.7,33725034,0.08%,3372.5,2.8
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,65336,8174624,817.5,8201867,0.33%,820.2,2.7
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,1048576,111463369,11146.3,111413639,-0.04%,11141.4,-5.0
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,4,33467922,3346.8,33455348,-0.04%,3345.5,-1.3
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,256,33712253,3371.2,33690716,-0.06%,3369.1,-2.2
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,65336,7999583,800.0,8025874,0.33%,802.6,2.6
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,1048576,112485537,11248.6,112482332,0.00%,11248.2,-0.3
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,4,33471096,3347.1,33454407,-0.05%,3345.4,-1.7
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,256,33681273,3368.1,33662156,-0.06%,3366.2,-1.9
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,65336,8028910,802.9,7996324,-0.41%,799.6,-3.3
