run,commit,type,iter,size,timea,timea1,timeb,timebp,timeb1,timebd,timec,timecp,timec1,timecd
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,391811,39.2,519680,32.64%,52.0,12.8,1069956,173.08%,107.0,67.8
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,443693,44.4,539642,21.63%,54.0,9.6,1120247,152.48%,112.0,67.7
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65536,27361331,2736.1,X,#VALUE!,#VALUE!,#VALUE!,27942105,2.12%,2794.2,58.1
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,808388927,80838.9,X,#VALUE!,#VALUE!,#VALUE!,X,#VALUE!,#VALUE!,#VALUE!
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,531552,53.2,491186,-7.59%,49.1,-4.0,1206110,126.90%,120.6,67.5
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,474989,47.5,559449,17.78%,55.9,8.4,1149154,141.93%,114.9,67.4
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65536,27480761,2748.1,27466829,-0.05%,2746.7,-1.4,28221651,2.70%,2822.2,74.1
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,X,#VALUE!,721841294,#VALUE!,72184.1,#VALUE!,792851768,#VALUE!,79285.2,#VALUE!
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,392264,39.2,491570,25.32%,49.2,9.9,1073351,173.63%,107.3,68.1
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,472732,47.3,560087,18.48%,56.0,8.7,1150357,143.34%,115.0,67.8
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65536,27347563,2734.8,27471193,0.45%,2747.1,12.4,28192973,3.09%,2819.3,84.5
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,803200904,80320.1,721847417,-10.13%,72184.7,-8135.3,793841640,-1.17%,79384.2,-935.9
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,4,391908,39.2,491340,25.37%,49.1,9.9,1070633,173.18%,107.1,67.9
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,256,478193,47.8,559709,17.05%,56.0,8.2,1149240,140.33%,114.9,67.1
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,65536,27269700,2727.0,27409484,0.51%,2740.9,14.0,27923256,2.40%,2792.3,65.4
2017-08-02_05,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,mpxk,10000,1048576,X,#VALUE!,X,#VALUE!,#VALUE!,#VALUE!,X,#VALUE!,#VALUE!,#VALUE!
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,4,632839,63.3,633304,0.07%,63.3,0.0,673869,6.48%,67.4,4.1
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,256,1300819,130.1,1291753,-0.70%,129.2,-0.9,1322091,1.64%,132.2,2.1
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,65536,51351858,5135.2,50654176,-1.36%,5065.4,-69.8,51404307,0.10%,5140.4,5.2
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,1048576,X,#VALUE!,1398086436,#VALUE!,139808.6,#VALUE!,1312170969,#VALUE!,131217.1,#VALUE!
2017-08-02_06,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,KASAN,10000,4,632282,63.2,634135,0.29%,63.4,0.2,661227,4.58%,66.1,2.9
